act,type,asset,size,pos
0001,STK,AUST212,34,Long
0001,STK,AUST272,48,Long
0001,STK,HONG104,265,Long
0001,STK,HONG140,115,Long
0001,STK,HONG179,380,Short
0001,STK,HONG186,3219,Short
0001,STK,INDI170,32,Short
0001,STK,JAPA020,24,Long
0001,STK,JAPA028,242,Short
0001,STK,JAPA175,643,Long
0001,STK,JAPA229,27,Short
0001,STK,JAPA232,393,Long
0001,STK,JAPA245,184,Long
0001,STK,JAPA251,96,Short
0001,STK,JAPA265,208,Long
0001,STK,JAPA282,159,Short
0001,STK,SING192,212,Long
0001,STK,SOUT078,97,Long
0001,STK,SOUT138,535,Short
0004,STK,AUST073,21,Long
0004,STK,AUST190,136,Short
0004,STK,AUST230,16,Long
0004,STK,AUST282,34,Long
0004,STK,INDI201,296,Long
0004,STK,JAPA096,179,Long
0004,STK,JAPA196,10,Short
0004,STK,JAPA233,50,Long
0004,STK,SOUT037,41,Long
0004,STK,TAIW232,4231,Short
0004,STK,THAI045,988,Long
0006,STK,AUST151,16,Short
0006,STK,HONG155,2468,Long
0006,STK,HONG183,57096,Long
0006,STK,HONG275,38,Short
0006,STK,INDI035,315,Long
0006,STK,INDO015,16518,Long
0006,STK,INDO241,17882,Short
0006,STK,JAPA007,48,Long
0006,STK,JAPA041,184,Long
0006,STK,JAPA058,30,Long
0006,STK,JAPA156,15,Short
0006,STK,JAPA179,1503,Short
0006,STK,JAPA274,18,Long
0022,STK,AUST121,212,Long
0022,STK,HONG070,159,Short
0022,STK,HONG149,690,Long
0022,STK,HONG197,1754,Long
0022,STK,HONG240,488,Short
0022,STK,HONG275,18,Short
0022,STK,HONG295,451,Short
0022,STK,INDI021,154,Long
0022,STK,JAPA022,16,Short
0022,STK,JAPA025,396,Long
0022,STK,JAPA091,105,Long
0022,STK,JAPA103,8,Long
0022,STK,JAPA189,22,Long
0022,STK,JAPA230,480,Long
0022,STK,JAPA277,27,Short
0022,STK,JAPA285,185,Long
0022,STK,JAPA290,4,Long
0022,STK,SOUT154,8,Long
0022,STK,SOUT224,4,Long
0022,STK,TAIW140,658,Short
0024,STK,HONG097,832,Long
0024,STK,HONG148,3079,Short
0024,STK,HONG273,6959,Long
0024,STK,INDI230,136,Short
0024,STK,JAPA004,33,Long
0024,STK,JAPA096,399,Short
0024,STK,JAPA140,375,Long
0024,STK,JAPA163,15,Long
0024,STK,JAPA203,187,Short
0024,STK,JAPA226,317,Long
0024,STK,JAPA236,14,Short
0024,STK,JAPA256,161,Long
0024,STK,SING193,6835,Short
0024,STK,SOUT023,449,Long
0024,STK,SOUT105,32,Long
0024,STK,SOUT271,3,Long
0024,STK,SOUT273,33,Long
0027,STK,AUST211,557,Long
0027,STK,HONG018,936,Long
0027,STK,HONG082,169,Long
0027,STK,HONG243,2391,Long
0027,STK,HONG295,568,Long
0027,STK,JAPA092,92,Long
0027,STK,JAPA134,32,Short
0027,STK,JAPA156,33,Short
0027,STK,JAPA246,13,Short
0027,STK,JAPA253,21,Short
0027,STK,JAPA261,24,Short
0027,STK,JAPA290,25,Short
0027,STK,JAPA293,93,Short
0027,STK,SOUT131,12,Long
0027,STK,SOUT210,123,Long
0027,STK,SOUT262,2864,Long
0027,STK,TAIW189,312,Long
0027,STK,TAIW213,380,Long
0027,STK,THAI122,2441,Long
0027,STK,THAI125,252,Long
0028,STK,AUST060,85,Short
0028,STK,AUST073,25,Long
0028,STK,HONG229,483,Long
0028,STK,INDI091,98,Short
0028,STK,INDI178,11,Short
0028,STK,JAPA102,98,Long
0028,STK,JAPA132,18,Long
0028,STK,JAPA152,10,Long
0028,STK,JAPA153,959,Short
0028,STK,JAPA162,13,Long
0028,STK,JAPA179,444,Long
0028,STK,JAPA222,254,Long
0028,STK,SOUT175,731,Long
0028,STK,THAI278,3758,Short
0029,STK,JAPA177,21,Long
0029,STK,JAPA202,118,Long
0030,STK,INDO241,59112,Long
0030,STK,JAPA156,17,Short
0031,STK,AUST014,855,Long
0031,STK,JAPA011,1004,Long
0036,STK,HONG045,1909,Long
0036,STK,INDO023,1609,Long
0036,STK,SOUT131,4,Short
0036,STK,TAIW006,485,Long
0037,STK,AUST032,92,Short
0037,STK,AUST073,5,Long
0037,STK,AUST081,682,Long
0037,STK,AUST121,190,Long
0037,STK,AUST238,66,Long
0037,STK,HONG067,1271,Long
0037,STK,HONG238,27491,Long
0037,STK,INDO037,1486,Long
0037,STK,JAPA001,366,Long
0037,STK,JAPA007,25,Long
0037,STK,JAPA037,15,Long
0037,STK,JAPA058,4,Long
0037,STK,JAPA073,165,Long
0037,STK,JAPA076,49,Long
0037,STK,JAPA084,74,Long
0037,STK,JAPA133,77,Short
0037,STK,JAPA153,516,Long
0037,STK,JAPA159,147,Long
0037,STK,JAPA245,239,Long
0037,STK,JAPA287,33,Long
0037,STK,PHIL126,645,Short
0037,STK,SOUT016,181,Long
0037,STK,SOUT182,80,Long
0037,STK,SOUT227,46,Long
0037,STK,TAIW033,983,Long
0037,STK,TAIW167,139,Short
0037,STK,TAIW179,609,Long
0037,STK,TAIW220,556,Long
0039,STK,JAPA113,196,Long
0039,STK,JAPA210,34,Long
0039,STK,JAPA253,18,Long
0039,STK,THAI060,34708,Long
0041,STK,AUST179,1081,Long
0042,STK,HONG003,814,Long
0042,STK,HONG070,140,Long
0042,STK,HONG243,1518,Short
0042,STK,INDO041,4175,Short
0042,STK,JAPA144,189,Long
0042,STK,JAPA149,16,Long
0042,STK,JAPA186,8,Long
0042,STK,JAPA250,5,Short
0042,STK,JAPA293,25,Long
0042,STK,SING276,141,Long
0042,STK,THAI220,43440,Short
0044,STK,AUST091,377,Long
0044,STK,HONG229,227,Long
0044,STK,HONG275,9,Long
0044,STK,JAPA161,39,Long
0044,STK,JAPA236,29,Long
0045,STK,AUST022,291,Long
0045,STK,JAPA102,141,Long
0045,STK,JAPA298,59,Long
0045,STK,SING030,658,Long
0045,STK,THAI199,231,Long
0049,STK,HONG200,6552,Long
0049,STK,HONG242,16965,Long
0049,STK,JAPA030,97,Short
0050,STK,JAPA036,47,Long
0050,STK,JAPA104,9,Long
0050,STK,JAPA205,331,Long
0050,STK,JAPA285,191,Long
0051,STK,AUST073,29,Long
0051,STK,HONG021,401,Short
0051,STK,HONG275,83,Long
0051,STK,INDO049,930,Long
0051,STK,JAPA019,297,Long
0051,STK,JAPA108,125,Long
0051,STK,JAPA175,763,Long
0051,STK,JAPA240,1,Long
0051,STK,SOUT096,5,Long
0051,STK,SOUT255,31,Long
0052,STK,AUST080,9,Short
0052,STK,AUST295,88,Long
0052,STK,HONG018,2702,Long
0052,STK,HONG044,909,Long
0052,STK,HONG056,548,Short
0052,STK,HONG179,2292,Long
0052,STK,HONG217,2872,Long
0052,STK,HONG275,49,Long
0052,STK,INDI268,4,Long
0052,STK,JAPA020,10,Long
0052,STK,JAPA051,20,Long
0052,STK,JAPA066,270,Long
0052,STK,JAPA093,7,Long
0052,STK,JAPA107,29,Short
0052,STK,JAPA111,17,Long
0052,STK,JAPA122,32,Short
0052,STK,JAPA146,263,Long
0052,STK,JAPA150,384,Long
0052,STK,JAPA186,131,Long
0052,STK,JAPA271,893,Long
0052,STK,JAPA290,10,Long
0052,STK,SING030,938,Long
0052,STK,SOUT031,8,Short
0052,STK,SOUT125,71,Long
0052,STK,SOUT176,23,Long
0052,STK,SOUT185,2,Long
0052,STK,SOUT197,7,Long
0052,STK,SOUT255,210,Long
0052,STK,TAIW198,305,Long
0052,STK,THAI259,420,Short
0053,STK,HONG275,110,Long
0053,STK,JAPA086,16,Long
0053,STK,JAPA290,18,Short
0054,STK,SING110,2132,Long
0055,STK,AUST073,12,Long
0055,STK,AUST187,386,Short
0055,STK,HONG018,911,Long
0055,STK,JAPA136,30,Short
0055,STK,JAPA254,46,Short
0055,STK,JAPA285,173,Long
0055,STK,SOUT234,52,Long
0055,STK,SOUT245,1,Long
0057,STK,AUST073,11,Long
0057,STK,AUST201,512,Long
0057,STK,HONG175,20120,Long
0057,STK,INDI283,4,Long
0057,STK,JAPA132,40,Long
0057,STK,JAPA217,403,Long
0057,STK,JAPA236,28,Long
0057,STK,JAPA271,335,Long
0057,STK,SOUT127,142,Long
0057,STK,THAI199,118,Long
0059,STK,HONG149,159,Long
0059,STK,INDI034,15,Long
0059,STK,INDI077,277,Long
0059,STK,JAPA026,48,Long
0059,STK,JAPA144,145,Long
0059,STK,JAPA162,17,Long
0059,STK,SING130,53,Long
0059,STK,SOUT044,18,Short
0059,STK,SOUT271,7,Long
0064,STK,AUST073,26,Long
0064,STK,AUST174,29,Long
0064,STK,AUST190,23,Long
0064,STK,HONG019,2619,Short
0064,STK,HONG049,3540,Long
0064,STK,HONG059,1868,Long
0064,STK,HONG070,55,Long
0064,STK,HONG082,636,Long
0064,STK,HONG104,1819,Long
0064,STK,HONG111,646,Long
0064,STK,HONG275,120,Long
0064,STK,INDI119,63,Long
0064,STK,INDI182,2931,Long
0064,STK,JAPA001,144,Long
0064,STK,JAPA022,36,Short
0064,STK,JAPA037,6,Long
0064,STK,JAPA092,32,Long
0064,STK,JAPA104,4,Short
0064,STK,JAPA125,71,Long
