act,asset,order,size,done,price
0001,AUST272,Sell,7,7,4.244
0001,HONG104,Sell,265,265,0.5317
0001,HONG179,Short,1650,1650,0.6134
0001,HONG186,Buy,3219,1434,0.28
0001,JAPA232,Buy,235,235,2.1692
0004,AUST073,Sell,21,21,55.0434
0006,HONG155,Buy,2468,1319,0.2823
0006,JAPA179,Buy,1503,859,2.7008
0006,JAPA274,Sell,18,10,40.1326
0022,AUST047,Buy,26,26,18.1133
0022,HONG149,Sell,690,690,2.5173
0022,HONG197,Sell,1754,1530,0.8811
0022,JAPA005,Buy,191,191,4.0017
0022,JAPA025,Sell,172,172,7.4191
0022,JAPA037,Buy,7,7,18.8423
0022,JAPA189,Buy,49,49,20.7274
0022,JAPA277,Buy,12,12,53.0332
0022,SOUT154,Sell,8,8,35.5458
0022,TAIW140,Buy,6,6,0.3311
0024,JAPA004,Sell,14,14,15.2304
0024,JAPA226,Sell,317,178,11.139
0024,JAPA281,Buy,50,50,6.9432
0024,SOUT273,Buy,34,34,32.0119
0027,JAPA156,Buy,33,20,32.7959
0027,JAPA246,Buy,1,1,13.9849
0027,JAPA250,Buy,22,22,41.1965
0028,HONG229,Sell,232,232,4.9851
0028,INDI091,Buy,63,63,17.5988
0028,SOUT175,Buy,731,657,2.338
0029,INDI035,Buy,278,278,5.3945
0029,JAPA177,Sell,21,9,38.7962
0030,INDO241,Buy,79561,79561,0.0123
0031,SOUT212,Buy,5459,5459,0.3323
0036,HONG045,Sell,1909,1909,0.6989
0037,AUST073,Buy,13,13,54.3341
0037,HONG082,Buy,227,227,3.0931
0037,HONG238,Sell,9358,9358,0.06
0037,JAPA007,Buy,4,4,32.0804
0037,JAPA037,Buy,15,7,18.9199
0037,JAPA153,Buy,516,63,2.079
0037,PHIL126,Short,28,28,1.8049
0039,JAPA113,Buy,375,375,1.3776
0042,THAI220,Buy,43440,43440,0.0309
0044,HONG275,Sell,9,9,16.9618
0044,JAPA153,Buy,165,165,2.063
0045,AUST022,Buy,540,540,6.0537
0045,JAPA298,Sell,20,20,18.9843
0049,JAPA030,Buy,61,61,25.4414
0050,JAPA036,Sell,47,47,18.6109
0050,JAPA073,Short,202,202,5.7144
0051,JAPA175,Buy,1127,1127,2.1073
0051,SOUT096,Buy,2,2,367.986
0052,HONG018,Sell,2702,2702,0.4619
0052,HONG275,Sell,49,29,16.8497
0052,JAPA020,Buy,14,14,33.8838
0052,JAPA107,Short,29,7,24.9187
0052,JAPA146,Sell,263,263,3.4282
0052,JAPA201,Short,3,3,56.6566
0052,SING030,Sell,938,938,2.0796
0052,SOUT097,Short,13,13,127.0805
0052,SOUT197,Sell,7,4,206.4948
0052,THAI259,Buy,420,420,0.4929
0054,SING110,Buy,2188,2188,0.3994
0055,JAPA285,Sell,36,36,3.0849
0055,SOUT234,Sell,52,52,3.9849
0057,AUST201,Sell,230,230,0.8081
0057,JAPA125,Buy,22,22,20.2965
0057,SOUT003,Buy,5,5,74.5565
0057,SOUT127,Sell,76,76,24.557
0057,THAI199,Buy,118,117,7.5846
0059,JAPA144,Buy,7,7,6.6969
0059,SOUT271,Buy,4,4,218.0497
0064,AUST190,Buy,42,42,11.1345
0064,HONG019,Buy,2619,2619,0.7671
0064,HONG082,Buy,518,518,3.1052
0064,HONG275,Buy,120,12,17.3879
0064,INDI119,Sell,36,36,4.3324
0064,JAPA001,Buy,78,78,4.6576
0064,JAPA125,Buy,26,26,20.2687
0064,JAPA159,Buy,60,60,5.2981
0064,THAI045,Buy,1518,1518,1.2378
0064,THAI204,Buy,281,281,7.6015
0064,THAI274,Sell,2302,2302,0.0657
0065,HONG264,Short,2157,2157,0.5739
0065,INDI271,Sell,335,335,0.93
0065,JAPA057,Buy,12,12,40.3729
0065,JAPA122,Buy,161,161,3.6545
0065,SOUT248,Short,23,23,83.6226
0067,AUST264,Sell,111,111,9.4497
0067,HONG084,Buy,5066,5066,0.6656
0074,SING204,Sell,1719,1719,0.5123
0074,SOUT255,Buy,46,46,5.3947
0074,THAI204,Short,144,144,7.5041
0078,INDI133,Buy,117,117,4.9283
0078,TAIW141,Sell,998,998,0.5901
0078,TAIW265,Buy,294,294,1.7469
0080,AUST073,Buy,24,24,54.701
0080,HONG293,Sell,4404,4404,0.3533
0080,INDO023,Buy,1611,1611,0.4242
0080,JAPA138,Buy,30,30,10.1645
0080,JAPA153,Short,129,129,2.0594
0080,JAPA156,Buy,25,25,32.6943
