act,type,asset,size,pos
0001,STK,DEN014,2,Short
0001,STK,DEN084,4,Long
0001,STK,GER293,21,Long
0001,STK,NET044,28,Long
0001,STK,NOR032,5,Long
0001,STK,NOR149,7,Long
0001,STK,SPA123,118,Long
0001,STK,SWE172,1,Long
0001,STK,SWE263,1,Short
0001,STK,SWE267,1,Long
0001,STK,SWI213,1,Long
0001,STK,SWI214,3,Short
0004,STK,DEN032,5,Long
0004,STK,FRA274,29,Long
0004,STK,ITA286,141,Long
0004,STK,NOR140,8,Long
0006,STK,DEN057,2,Long
0006,STK,FRA237,23,Short
0006,STK,ITA246,32,Long
0006,STK,NET016,1,Long
0006,STK,SPA022,169,Long
0006,STK,SPA025,196,Long
0006,STK,SWE130,5,Short
0006,STK,SWI162,26,Short
0006,STK,SWI230,244,Long
0009,STK,FIN036,74,Short
0009,STK,FRA163,10,Long
0009,STK,GER072,69,Long
0009,STK,ITA259,501,Long
0009,STK,NOR096,53,Short
0009,STK,SWI187,2,Long
0010,STK,FIN061,82,Long
0010,STK,FRA070,7,Long
0010,STK,FRA143,5,Long
0010,STK,NOR081,51,Long
0010,STK,NOR083,2,Short
0010,STK,SPA083,48,Short
0010,STK,SWE023,5,Long
0010,STK,SWE126,7,Long
0010,STK,SWE248,4,Long
0010,STK,SWE269,12,Long
0010,STK,SWE274,10,Short
0010,STK,SWI167,7,Short
0012,STK,NET044,7,Long
0012,STK,SWE047,13,Long
0012,STK,SWE163,13,Short
0012,STK,SWE276,10,Short
0014,STK,BEL049,7,Long
0014,STK,SWE009,143,Long
0014,STK,SWE252,37,Long
0020,STK,DEN071,10,Short
0020,STK,DEN084,2,Long
0020,STK,DEN124,12,Long
0020,STK,GER234,24,Long
0020,STK,GER240,6,Long
0020,STK,SWE023,5,Long
0020,STK,SWE124,1,Long
0021,STK,DEN024,33,Long
0021,STK,NOR013,24,Short
0021,STK,SWE127,14,Long
0021,STK,SWE267,5,Long
0022,STK,NOR120,14,Long
0022,STK,SPA025,140,Long
0023,STK,DEN044,1,Long
0023,STK,DEN084,2,Short
0023,STK,DEN127,4,Long
0023,STK,FIN062,296,Short
0023,STK,FRA076,3,Long
0023,STK,GER017,5,Long
0023,STK,GER032,4,Long
0023,STK,GER069,32,Short
0023,STK,GER180,10,Long
0023,STK,ITA118,83,Long
0023,STK,NET061,55,Long
0023,STK,NOR049,6,Long
0023,STK,NOR166,1,Long
0023,STK,SPA025,58,Long
0023,STK,SWE102,2,Long
0023,STK,SWE194,4,Long
0023,STK,SWI187,6,Long
0024,STK,GER083,38,Short
0024,STK,NET064,10,Long
0024,STK,SWE021,11,Short
0024,STK,SWE124,3,Long
0024,STK,SWE263,4,Long
0024,STK,SWE264,3,Short
0024,STK,SWI227,90,Short
0025,STK,DEN084,1,Long
0025,STK,SPA083,326,Long
0025,STK,SWI167,14,Long
0026,STK,GER033,14,Short
0026,STK,GER074,25,Short
0026,STK,NOR140,5,Short
0027,STK,FRA100,10,Long
0027,STK,GER074,4,Long
0027,STK,ITA021,20,Long
0027,STK,NOR110,1,Long
0027,STK,NOR140,8,Long
0027,STK,SPA087,19,Long
0027,STK,SWE047,3,Short
0028,STK,DEN084,4,Long
0028,STK,FRA095,72,Long
0028,STK,FRA171,5,Short
0028,STK,GER274,21,Long
0028,STK,IRE014,180,Long
0028,STK,ITA134,119,Long
0028,STK,ITA246,145,Long
0028,STK,NOR032,8,Long
0028,STK,NOR142,28,Long
0028,STK,NOR166,4,Long
0028,STK,SWE024,2,Long
0028,STK,SWE047,13,Short
0028,STK,SWE102,4,Long
0028,STK,SWE248,2,Long
0028,STK,SWI230,14,Long
0029,STK,SPA025,121,Long
0029,STK,SWE244,18,Long
0029,STK,SWE293,10,Short
0029,STK,SWI162,3,Short
0030,STK,SWE002,1,Long
0031,STK,BEL008,13,Long
0031,STK,GER230,11,Long
0031,STK,NOR033,180,Long
0031,STK,NOR120,20,Long
0031,STK,SWE099,2,Long
0031,STK,SWE101,5,Short
0031,STK,SWE248,2,Long
0031,STK,SWE274,4,Long
0034,STK,DEN084,1,Long
0034,STK,DEN127,5,Long
0034,STK,FRA011,22,Long
0034,STK,NET105,18,Short
0034,STK,NOR032,5,Long
0034,STK,NOR120,19,Short
0034,STK,NOR140,12,Long
0034,STK,SWE102,4,Short
0034,STK,SWE129,11,Short
0034,STK,SWE194,15,Long
0034,STK,SWE263,1,Long
0034,STK,SWE276,27,Long
0034,STK,SWI071,6,Long
0034,STK,SWI162,9,Short
0036,STK,ITA123,125,Long
0036,STK,SWE003,4,Long
0036,STK,SWE102,3,Long
0036,STK,SWE263,2,Long
0037,STK,FRA054,6,Long
0037,STK,GER032,12,Long
0037,STK,GER072,21,Long
0037,STK,NOR032,9,Long
0037,STK,SWE191,14,Long
0037,STK,SWE276,3,Long
0038,STK,SPA004,684,Long
0038,STK,SWE124,4,Long
0038,STK,SWI230,15,Short
0039,STK,FRA045,16,Long
0041,STK,BEL035,86,Short
0041,STK,ITA026,254,Short
0041,STK,NET102,264,Long
0041,STK,SWE120,6,Short
0041,STK,SWE141,2,Long
0041,STK,SWE231,18,Long
0041,STK,SWI230,31,Short
0042,STK,FRA020,78,Long
0042,STK,GER033,16,Short
0042,STK,NET053,175,Long
0042,STK,NET086,66,Short
0042,STK,SPA083,195,Long
0042,STK,SPA123,63,Long
0042,STK,SWE120,2,Long
0042,STK,SWE248,9,Long
0042,STK,SWE287,2,Short
0043,STK,NET044,16,Long
0043,STK,NET081,20,Long
0043,STK,SWE108,4,Long
0043,STK,SWE124,6,Long
0043,STK,SWI167,1,Long
0044,STK,FRA056,41,Long
0044,STK,FRA152,19,Long
0044,STK,FRA216,14,Long
0044,STK,NET004,351,Long
0044,STK,NET006,9,Long
0044,STK,NET050,415,Long
0044,STK,NET056,108,Long
0044,STK,NOR116,4,Long
0044,STK,NOR149,10,Long
0044,STK,SWE138,7,Long
0044,STK,SWE213,25,Long
0044,STK,SWE231,3,Long
0044,STK,SWE259,15,Long
0044,STK,SWI167,3,Long
0045,STK,GER181,5,Long
0047,STK,FIN071,50,Long
0047,STK,NET014,148,Long
0047,STK,SWE067,11,Long
0047,STK,SWE120,4,Long
0047,STK,SWI230,63,Long
0049,STK,DEN120,2,Long
0049,STK,GER032,9,Short
0049,STK,SWE108,8,Long
0049,STK,SWE162,22,Long
