act,asset,order,size,done,price
0001,DEN084,Sell,4,4,332.9457399
0001,GER293,Sell,19,19,32.74869955
0001,NET044,Sell,17,17,62.58735426
0001,NOR032,Sell,5,5,107.4438565
0001,SWE263,Buy,1,1,217.447713
0001,SWE267,Sell,1,1,172.9630493
0004,FRA274,Sell,5,5,37.12251121
0006,ITA246,Buy,41,41,7.351838565
0006,SWI230,Sell,154,154,17.79372197
0009,GER072,Buy,4,4,23.83461883
0009,ITA259,Sell,206,206,3.934439462
0010,GER076,Short,179,179,9.917399103
0010,NOR081,Sell,51,51,26.31686099
0010,SPA083,Buy,48,48,5.359730942
0010,SWE102,Buy,6,6,192.1700448
0012,SWE047,Sell,13,8,128.0499552
0020,DEN084,Sell,1,1,337.2204484
0022,GER234,Buy,18,18,53.48753363
0022,SWE166,Buy,13,13,121.8507623
0023,DEN023,Short,4,4,453.7545291
0023,DEN124,Buy,3,3,116.8701345
0023,GER032,Buy,2,2,107.7130942
0023,GER069,Buy,15,15,64.44295964
0023,GER180,Buy,10,3,71.90493274
0023,NOR049,Buy,1,1,108.0407175
0023,SPA025,Buy,58,2,4.975067265
0023,SWI187,Sell,2,2,239.4857399
0024,GER083,Buy,7,7,38.24529148
0024,SWE263,Buy,2,2,216.0912108
0024,SWI227,Buy,90,90,11.0935426
0025,SWE287,Buy,2,2,580.8146188
0025,SWI167,Buy,3,3,85.40188341
0026,GER074,Buy,25,25,71.51838565
0027,SWE267,Short,7,7,173.5509417
0028,NOR032,Buy,4,4,105.8518386
0028,SWE023,Short,7,7,189.3806278
0028,SWE248,Buy,15,15,144.6344395
0029,FIN017,Buy,384,384,4.212735426
0029,SWE244,Buy,23,23,88.60412556
0031,BEL008,Sell,6,6,86.2670852
0031,NOR033,Sell,39,39,8.118565022
0031,SWE099,Sell,2,2,176.4135426
0034,FRA011,Buy,24,24,51.44403587
0034,SWE129,Buy,4,4,49.34170404
0034,SWE276,Buy,27,10,43.04636771
0036,SWE274,Buy,4,4,74.18878924
0041,DEN089,Buy,2,2,684.952287
0041,ITA026,Buy,254,254,7.160627803
0041,SWI230,Buy,31,31,17.74215247
0042,FRA020,Sell,43,43,6.456502242
0042,ITA169,Buy,144,144,2.912107623
0042,SWE090,Buy,8,8,217.5052018
0043,NET081,Buy,26,26,50.50547085
0044,FRA056,Sell,13,13,26.08816143
0044,FRA152,Buy,3,3,54.01542601
0044,NET050,Sell,270,270,12.24878924
0044,SWE213,Buy,5,5,53.89363229
0044,SWE244,Buy,9,9,88.86699552
0045,SWE194,Buy,4,4,89.87766816
0047,FIN071,Sell,21,21,31.58269058
0049,GER032,Short,9,4,109.8159641
0049,GER105,Buy,12,12,56.43829596
0049,SWE274,Buy,18,18,74.09982063
0054,GER093,Sell,75,75,9.204663677
0054,SWE115,Buy,14,14,83.38834081
0055,AUS053,Sell,58,58,30.2173991
0055,DEN084,Buy,1,1,334.0292377
0055,FRA171,Sell,7,7,135.6489686
0055,FRA234,Buy,24,24,12.3090583
0055,ITA123,Sell,38,38,12.77829596
0055,NOR002,Sell,2,2,97.68816143
0055,NOR058,Sell,26,26,11.98394619
0055,SWE047,Buy,7,7,126.9365919
0055,SWE081,Sell,1,1,106.3442152
0055,SWE222,Buy,1,1,141.6872646
0055,SWE267,Sell,8,8,172.7264574
0056,FRA274,Sell,9,9,36.16932735
0056,ITA169,Buy,905,905,2.929955157
0056,NOR140,Buy,7,7,112.3021525
0056,SPA067,Sell,126,126,19.0335426
0056,SWE023,Sell,1,1,189.0663677
0057,DEN127,Sell,1,1,318.3988341
0059,SWE194,Short,5,5,89.22825112
0063,POR011,Sell,525,525,2.815426009
0063,SWE023,Short,2,2,191.0528251
0066,NET111,Buy,21,21,25.29264574
0066,SWE126,Short,14,14,214.2084305
0067,DEN027,Buy,1,1,400.1952466
0067,DEN120,Buy,2,2,166.9
0067,NET086,Sell,80,80,20.9826009
0070,FRA056,Sell,32,32,25.84035874
0070,FRA250,Buy,23,23,38.83318386
0070,ITA286,Buy,29,29,5.296681614
0070,NET061,Sell,12,12,20.62654709
0070,NOR083,Sell,7,7,322.1264574
0070,SWE023,Sell,1,1,187.5970404
0070,SWE090,Sell,4,4,218.3290583
0070,SWE194,Sell,23,14,89.23766816
0072,BEL088,Sell,3,3,94.4870852
0072,SWE021,Short,1,1,143.3855605
0077,GER069,Sell,44,25,64.59372197
0077,ITA134,Buy,22,22,11.4941704
0077,SWE244,Sell,7,7,88.44520179
0077,SWE263,Sell,4,4,219.3283408
0083,SPA025,Buy,251,251,5.013991031
0085,FRA054,Short,16,16,71.72878924
0085,GER065,Sell,3,3,171.3767713
0087,ITA028,Sell,69,69,17.72690583
0087,ITA286,Buy,222,222,5.245560538
0087,SWE023,Buy,7,7,188.9774888
0088,FIN071,Buy,11,11,31.52950673
0088,GER003,Buy,6,6,59.9670852
0088,NOR110,Buy,1,1,665.5208072
0088,SWE124,Sell,3,3,294.3439462
0090,SWE047,Buy,11,11,127.6147085
0093,FRA171,Sell,13,13,135.2194619
0095,SWE021,Sell,8,8,143.7941704
0095,SWE023,Short,2,2,191.3270852
0095,SWE166,Sell,5,5,118.2565919
0095,SWE239,Short,8,8,97.09775785
0101,SWE102,Short,3,3,196.7344395
0101,SWE231,Buy,46,26,72.84089686
0101,SWI103,Buy,5,5,278.1306726
0101,SWI167,Sell,5,1,84.4626009
0103,ITA273,Sell,424,424,0.812197309
0103,NOR081,Sell,6,6,25.99874439
0103,SWE191,Buy,7,7,47.58340807
0103,SWE274,Sell,29,29,74.62511211
0103,SWI227,Sell,73,73,11.27820628
0104,DEN084,Sell,2,2,333.3593722
0104,FRA011,Buy,5,5,52.152287
0104,GER065,Short,5,5,171.9111211
0104,GER078,Buy,47,21,22.08493274
0104,GER230,Buy,107,107,12.44484305
0104,SWE003,Sell,1,1,146.7251121
