act,type,asset,size,pos
0001,CASH,n/a,5325.22,Long
0001,STK,ETF1286,6,Long
0001,STK,NYS2065,11,Short
0002,CASH,n/a,1845.06,Long
0002,STK,ETF1075,22,Short
0002,STK,ETF1286,5,Long
0002,STK,ETF1326,1,Short
0002,STK,NAS0486,4,Long
0002,STK,NAS0858,16,Long
0002,STK,NAS1621,1,Short
0002,STK,NAS2580,30,Long
0002,STK,NYS0324,8,Long
0002,STK,NYS0391,25,Long
0002,STK,NYS0592,8,Long
0002,STK,NYS1184,9,Long
0002,STK,NYS1417,4,Long
0002,STK,NYS1653,3,Long
0002,STK,NYS1681,4,Long
0002,STK,NYS1806,1,Long
0002,STK,NYS2288,40,Long
0003,CASH,n/a,1330.09,Long
0003,STK,ETF1382,10,Long
0003,STK,NYS0953,33,Short
0003,STK,NYS1834,8,Long
0003,STK,NYS2072,45,Short
0003,STK,NYS2221,1,Long
0003,STK,NYS2268,125,Long
0004,CASH,n/a,5114.68,Long
0004,STK,ETF0870,83,Long
0004,STK,NYS0259,22,Long
0004,STK,NYS1437,13,Long
0004,STK,NYS1724,6,Long
0005,CASH,n/a,713.9,Long
0005,STK,NAS0095,4,Long
0005,STK,NAS1577,29,Short
0005,STK,NAS1739,2,Long
0005,STK,NAS2279,54,Long
0005,STK,NAS2345,18,Long
0006,CASH,n/a,3842.83,Long
0006,STK,ETF0763,15,Short
0006,STK,ETF1286,6,Long
0006,STK,NAS0340,4,Long
0006,STK,NAS0478,20,Long
0006,STK,NYS0645,9,Long
0006,STK,NYS0993,22,Long
0006,STK,NYS1428,39,Short
0006,STK,NYS1915,137,Long
0006,STK,NYS2151,4,Long
0007,CASH,n/a,2013.13,Long
0007,STK,ETF0169,4,Long
0007,STK,ETF1003,11,Long
0007,STK,ETF1253,15,Long
0007,STK,ETF1286,6,Short
0007,STK,ETF1326,1,Long
0007,STK,ETF1450,34,Short
0007,STK,NAS0238,11,Long
0007,STK,NAS0858,4,Long
0007,STK,NYS0156,113,Long
0007,STK,NYS0365,5,Short
0007,STK,NYS0673,2,Short
0007,STK,NYS0867,27,Long
0007,STK,NYS1079,3,Long
0007,STK,NYS1183,246,Long
0007,STK,NYS1460,69,Long
0007,STK,NYS1778,10,Short
0007,STK,NYS1958,18,Short
0007,STK,NYS2257,13,Long
0008,CASH,n/a,1455.73,Long
0008,STK,ETF0540,19,Short
0008,STK,ETF1216,19,Long
0008,STK,NAS2217,12,Long
0008,STK,NYS0483,6,Long
0008,STK,NYS0956,43,Long
0008,STK,NYS0988,10,Short
0009,CASH,n/a,27.1,Long
0010,CASH,n/a,3421.46,Long
0011,CASH,n/a,6914.5,Long
0011,STK,ETF1119,120,Long
0011,STK,ETF1286,12,Long
0011,STK,NAS0815,3,Short
0011,STK,NAS1439,21,Short
0011,STK,NAS2169,8,Short
0011,STK,NYS0683,7,Long
0011,STK,NYS1355,30,Long
0011,STK,NYS1837,46,Short
0011,STK,NYS2039,51,Long
0012,CASH,n/a,752.96,Long
0013,CASH,n/a,2789.03,Long
0013,STK,ETF1286,9,Short
0013,STK,ETF1443,1565,Long
0013,STK,NAS0006,8,Long
0013,STK,NAS1580,19,Long
0013,STK,NAS2180,5,Long
0013,STK,NYS0034,44,Long
0013,STK,NYS0257,26,Long
0013,STK,NYS0365,24,Long
0013,STK,NYS0667,105,Long
0013,STK,NYS1306,11,Long
0013,STK,NYS1779,16,Long
0013,STK,NYS1803,18,Short
0013,STK,NYS1989,10,Long
0014,CASH,n/a,461.81,Long
0014,STK,ETF0540,46,Long
0014,STK,ETF0687,30,Long
0014,STK,ETF0791,7,Long
0014,STK,ETF1028,14,Long
0014,STK,NAS1218,61,Long
0014,STK,NYS0796,92,Long
0014,STK,NYS1835,32,Long
0014,STK,NYS2344,25,Long
0014,STK,NYS2377,4,Short
0015,CASH,n/a,1391.51,Long
0015,STK,ETF0750,4,Long
0015,STK,ETF1128,25,Short
0015,STK,ETF1375,8,Long
0015,STK,NAS0290,5,Long
0015,STK,NYS1333,43,Long
0016,CASH,n/a,4224.82,Long
0016,STK,ETF0816,9,Long
0016,STK,ETF1120,6,Long
0016,STK,ETF1172,19,Long
0016,STK,ETF1328,5,Long
0016,STK,NAS1006,6,Long
0016,STK,NAS2120,12,Long
0016,STK,NYS0421,6,Long
0016,STK,NYS0953,46,Long
0016,STK,NYS1886,28,Long
0016,STK,NYS2107,17,Long
0017,CASH,n/a,826.46,Long
0017,STK,NAS0290,2,Short
0017,STK,NYS0750,34,Long
0017,STK,NYS1687,28,Short
0018,CASH,n/a,2504.6,Long
0018,STK,ETF0204,17,Long
0018,STK,ETF0663,1,Long
0018,STK,ETF0681,20,Short
0018,STK,ETF0763,9,Short
0018,STK,ETF1120,2,Long
0018,STK,NAS1562,19,Short
0018,STK,NYS1183,239,Long
0018,STK,NYS1218,19,Short
0018,STK,NYS1360,4,Long
0018,STK,NYS1467,16,Short
0018,STK,NYS1962,32,Long
0019,CASH,n/a,2897.37,Long
0019,STK,ETF0565,16,Long
0019,STK,ETF0634,7,Short
0019,STK,ETF1286,3,Short
0019,STK,NAS0185,66,Long
0019,STK,NAS1218,44,Short
0019,STK,NYS0036,7,Short
0019,STK,NYS2222,4,Long
0020,CASH,n/a,1250.88,Long
0020,STK,ETF1450,7,Long
0020,STK,NAS0006,1,Long
0020,STK,NAS0858,18,Short
0020,STK,NYS0086,13,Short
0021,CASH,n/a,2851.12,Long
0021,STK,ETF1003,9,Long
0021,STK,ETF1286,7,Long
0021,STK,ETF1432,15,Long
0021,STK,NAS0126,3,Short
0021,STK,NAS0624,26,Long
0021,STK,NAS1035,1,Long
0021,STK,NAS1329,273,Long
0021,STK,NAS1449,53,Long
0021,STK,NAS2511,5,Long
0021,STK,NYS0921,42,Long
0021,STK,NYS1194,31,Long
0021,STK,NYS1533,170,Long
0021,STK,NYS1675,12,Long
0021,STK,NYS1745,26,Short
0021,STK,NYS2051,65,Short
0021,STK,NYS2222,13,Long
0022,CASH,n/a,3661.78,Long
0023,CASH,n/a,7777.8,Long
0023,STK,ETF0763,5,Long
0023,STK,ETF0808,18,Long
0023,STK,ETF1250,13,Long
0023,STK,ETF1286,5,Short
0023,STK,NAS0006,12,Long
0023,STK,NAS0143,2,Long
0023,STK,NAS0231,93,Long
0023,STK,NAS0632,87,Long
0023,STK,NAS1006,4,Long
0023,STK,NAS1580,19,Short
0023,STK,NAS2452,29,Long
0023,STK,NYS0234,384,Long
0023,STK,NYS0511,41,Short
0023,STK,NYS0519,12,Long
0023,STK,NYS0613,2,Short
0023,STK,NYS1214,6,Long
0023,STK,NYS1428,2,Long
0023,STK,NYS1905,2,Long
0023,STK,NYS2253,15,Short
0024,CASH,n/a,6221.93,Long
0024,STK,ETF1286,1,Long
0024,STK,NYS0501,75,Long
0024,STK,NYS1779,4,Long
0025,CASH,n/a,3679.92,Long
0025,STK,ETF0687,18,Long
0025,STK,ETF1286,5,Long
0025,STK,NYS0715,22,Long
0025,STK,NYS1222,49,Short
0025,STK,NYS1546,312,Short
0026,CASH,n/a,3657.9,Long
0026,STK,ETF0634,21,Long
0026,STK,ETF0765,18,Long
0026,STK,ETF1286,28,Short
0026,STK,ETF1294,7,Long
0026,STK,NAS1377,34,Long
0026,STK,NYS0378,9,Long
0026,STK,NYS0533,18,Long
0026,STK,NYS0623,32,Long
0026,STK,NYS0965,110,Long
0026,STK,NYS1104,1,Long
0026,STK,NYS1226,45,Short
0026,STK,NYS1439,2,Long
0026,STK,NYS1989,2,Long
0027,CASH,n/a,11040.36,Long
0027,STK,NAS1663,16,Long
0027,STK,NYS0855,96,Long
0027,STK,NYS1169,12,Long
0027,STK,NYS2247,45,Long
0028,CASH,n/a,6649.75,Long
0029,CASH,n/a,6244.71,Long
0029,STK,ETF0069,17,Short
0029,STK,ETF0681,11,Long
0029,STK,ETF0763,6,Long
0029,STK,ETF0779,6,Short
0029,STK,ETF1117,28,Long
0029,STK,ETF1286,17,Long
0029,STK,ETF1326,4,Short
0029,STK,ETF1328,41,Long
0029,STK,ETF1346,12,Long
0029,STK,NAS0291,2,Long
0029,STK,NAS0526,6,Long
0029,STK,NAS0821,22,Short
0029,STK,NAS0858,16,Long
0029,STK,NAS1562,15,Long
0029,STK,NAS1759,59,Long
