asset,name,px
NAS0001,American Airlines Group,38.62
NAS0002,Atlantic American,3.51
NAS0003,Applied Optoelectronics,21.11
NAS0004,AAON,20.51
NAS0005,Atlantic Alliance Partnership,10.15
NAS0006,Apple,113.29
NAS0007,Avalanche Biotechnologies,10.78
NAS0008,Atlas Air Worldwide Holdings,41.57
NAS0009,Aoxin Tianli Group,0.75
NAS0010,Abaxis,47.89
NAS0011,Ameris Bancorp,26.8
NAS0012,Cambium Learning Group,5.28
NAS0013,Advisory Board,49.61
NAS0014,Anchor Bancorp Wisconsin,40.28
NAS0015,Abeona Therapeutics,4.82
NAS0016,Abeona Therapeutics WT,1.83
NAS0017,Abengoa ADR,5.71
NAS0018,ARCA biopharma,0.87
NAS0019,Abiomed,98.23
NAS0020,Autobytel,17.56
NAS0021,Arbutus Biopharma,7.36
NAS0022,Abengoa Yield,23.04
NAS0023,ACADIA Pharmaceuticals,38.17
NAS0024,Arctic Cat,26.55
NAS0025,Aceto,22.76
NAS0026,Atlantic Coast Financial,5.59
NAS0027,Arch Capital Group,68.17
NAS0028,Acadia Healthcare,74.61
NAS0029,Achillion Pharmaceuticals,7.76
NAS0030,ACI Worldwide,21.38
NAS0031,Axcelis Technologies,3.17
NAS0032,ACNB,19.85
NAS0033,Acorda Therapeutics,32.73
NAS0034,Active Power,1.81
NAS0035,AcelRx Pharmaceuticals,4.24
NAS0036,Acasti Pharma,0.36
NAS0037,Actua,14.02
NAS0038,Acacia Research - Acacia Technologies,9.43
NAS0039,Actions Semiconductor ADR,1.61
NAS0040,Acxiom,21.15
NAS0041,Adaptimmune Therapeutics ADR,11.66
NAS0042,Authentidate Holding,0.29
NAS0043,Adobe Systems,79.4
NAS0044,Adept Technology,6.87
NAS0045,Alcobra,7.94
NAS0046,Analog Devices,56.45
NAS0047,ADMA Biologics,9.37
NAS0048,Adamis Pharmaceuticals,3.69
NAS0049,Adamas Pharmaceuticals,20.61
NAS0050,Automatic Data Processing,78.41
NAS0051,Aduro Biotech,20.61
NAS0052,Autodesk,47.52
NAS0053,Adtran,15.7
NAS0054,Addus HomeCare,28.71
NAS0055,Advaxis,15.11
NAS0056,Advaxis WT,10.47
NAS0057,Aegion,18.28
